"chr1"	949110	949171	0	14	11	24	26	18	24	15	21	12	24	24	0	15	0	31	16	0	18	19	25	24	15	22	13	0	0	1	536	"upstream"	"RP11-54O7.11"
"chr1"	955209	955564	32	26	25	15	24	19	16	0	0	0	17	48	35	34	23	0	17	16	25	0	21	0	33	31	40	19	34	3	0	"overlapStart"	"AGRN"
"chr1"	1166947	1166955	47	26	43	22	0	0	29	43	0	25	22	36	45	0	27	26	0	32	42	19	33	0	46	40	65	23	30	62	673	"upstream"	"B3GALT6"
"chr1"	1208621	1208636	47	21	21	17	38	0	38	0	20	29	26	40	40	37	31	14	0	27	31	22	68	0	56	0	62	0	36	75	1966	"upstream"	"RP5-902P8.10"
"chr1"	1238813	1239163	36	26	26	13	0	27	28	32	27	20	23	38	35	43	24	24	0	25	27	31	47	26	30	34	38	0	38	111	4783	"upstream"	"PUSL1"
"chr1"	1259734	1259742	16	0	13	0	32	19	26	35	22	22	0	32	47	30	28	0	0	0	25	41	27	33	47	20	36	56	22	131	393	"upstream"	"GLTPD1"
"chr1"	1284334	1284988	30	16	23	0	32	32	30	28	32	28	0	55	40	43	35	0	23	31	36	29	0	40	38	27	45	0	52	151	0	"overlapStart"	"DVL1"
"chr1"	1310096	1310099	25	24	31	0	30	11	36	36	0	19	15	33	49	30	0	0	32	30	0	20	37	0	28	15	71	52	38	159	3946	"upstream"	"RP5-890O3.3"
"chr1"	1334241	1334275	28	23	22	0	0	31	26	31	0	0	20	48	37	43	23	0	0	30	36	26	41	19	39	34	42	25	47	168	626	"upstream"	"RP4-758J18.2"
"chr1"	1342366	1342391	20	0	29	17	45	0	19	28	21	19	0	30	38	27	24	17	0	0	0	28	43	15	28	24	40	38	19	181	1233	"upstream"	"RN7SL657P"
"chr1"	1354867	1354909	34	23	32	24	39	30	35	30	0	0	0	46	56	48	29	17	0	0	35	24	34	0	42	35	51	41	36	192	715	"upstream"	"RP4-758J18.7"
"chr1"	1360743	1360863	34	23	40	0	24	30	0	0	24	19	23	46	32	33	32	19	0	0	35	21	52	0	39	32	39	24	38	205	3593	"upstream"	"ANKRD65"
"chr1"	1365224	1365274	34	18	24	0	0	27	36	33	25	24	23	35	32	33	32	28	17	22	35	23	42	0	39	0	39	28	0	219	4966	"upstream"	"VWA1"
"chr1"	1446924	1446934	48	17	24	19	0	52	65	49	0	0	0	94	41	95	52	0	41	15	30	20	27	24	32	0	77	35	32	241	596	"upstream"	"ATAD3A"
"chr1"	1475771	1476054	16	14	21	0	21	28	24	24	20	0	14	26	22	27	18	19	20	0	28	0	29	37	35	0	27	19	24	256	0	"overlapStart"	"TMEM240"
"chr1"	1509537	1509540	43	34	0	0	53	25	49	0	25	20	25	49	43	44	37	43	48	35	37	0	0	37	36	40	90	27	0	266	814	"upstream"	"AL645728.1"
"chr1"	1550759	1550779	49	22	29	0	34	0	36	38	20	29	19	0	54	0	0	29	60	20	59	0	51	38	43	68	42	69	50	279	15	"upstream"	"MIB2"
"chr1"	1821473	1821504	30	24	25	21	22	19	47	32	0	13	0	0	38	27	26	29	0	0	42	30	38	18	33	0	56	34	34	302	1405	"upstream"	"RP1-140A9.1"
