log2FoldChange padj pval genes gene_type
1 3.08994858905712 8.11899060627578e-07 1.80163881146926e-10 FOXJ1 upregulated
2 2.4983579372268 2.21006860795398e-06 6.18114559629136e-10 THRSP upregulated
3 1.54944531513199 2.42465531525036e-06 9.04173892789021e-10 QRICH2 upregulated
4 1.48127491846949 3.12352445043259e-06 1.45598492072558e-09 DNAH11 upregulated
5 1.63275503578865 3.23534321710315e-06 1.65891835119259e-09 FAM106B upregulated
6 2.63871973972903 3.79447743963313e-06 2.12248773018214e-09 ADORA2A-AS1 upregulated
7 2.17614577403114 4.19967410254488e-06 2.74066272482302e-09 LOC100129316 upregulated
8 1.30671667265498 5.26869987807122e-06 4.17507565036175e-09 LOC100506860 upregulated
9 1.71644057358685 5.27679211727636e-06 4.42745807630515e-09 C6orf118 upregulated
10 1.734697561588 9.29885611864016e-06 9.53595462686261e-09 LOC100506136 upregulated
11 1.10498289694652 1.19565386818329e-05 1.50480839234367e-08 RASSF3 upregulated
12 1.38814254169741 1.19565386818329e-05 1.33473997651474e-08 ANO2 upregulated
13 1.15724985866685 1.19565386818329e-05 1.37081242114237e-08 PROX2 upregulated
14 1.11529672306329 1.43939388839592e-05 1.87866633454928e-08 MTSS1L upregulated
15 0.637002724956262 1.48529772274008e-05 2.14453472608006e-08 TRAF3IP2-AS1 upregulated
16 1.32197419941113 1.48529772274008e-05 2.07665710415571e-08 SMG1P7 upregulated
17 1.89088261122729 1.48765472957122e-05 2.21903469660556e-08 MROH6 upregulated
18 3.73008901756507 1.50660083516823e-05 2.38775128866451e-08 LCN10 upregulated
19 1.72582053398072 1.70364162938648e-05 2.93827158380179e-08 ADAMTS2 upregulated
20 3.01434620626079 1.70364162938648e-05 2.86061206366045e-08 ADORA2A upregulated
21 1.9619268863823 2.30708999493361e-05 4.40920569581308e-08 SH2D7 upregulated
22 1.01927501074862 2.49440796224194e-05 5.23229190793302e-08 SAMD4A upregulated
