"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","distance.to.TSS","region","gene.name","ADO.pval","ADO.log2FC","ADO.status","OY.pval","OY.log2FC","OY.status","anova.pval"
"chr1",1550759,1550779,49,22,29,0,34,0,36,38,20,29,19,0,54,0,0,29,60,20,59,0,51,38,43,68,42,69,50,279,15,"upstream","MIB2",0.0401628215597911,1.01449956969511,"gain",0.499574828681686,-0.170618771612397,"not significant",0.0384055351029443
"chr1",1821473,1821504,30,24,25,21,22,19,47,32,0,13,0,0,38,27,26,29,0,0,42,30,38,18,33,0,56,34,34,302,1405,"upstream","RP1-140A9.1",0.0179949003935253,1.25153876699596,"gain",0.116132680499473,-1.04800537291083,"not significant",0.020238831711596
"chr1",2159050,2159060,37,36,43,35,36,25,34,0,0,0,21,79,65,35,0,0,42,0,39,39,62,37,53,50,103,42,46,447,1073,"upstream","SKI",0.0392813524285196,1.11272310578324,"gain",0.389409228440019,-0.345579362952008,"not significant",0.0371689791605769
"chr1",3688708,3688733,26,19,23,0,14,0,0,20,0,0,0,25,21,22,20,17,15,14,31,13,26,15,19,31,23,28,22,791,618,"upstream","SMIM1",0.0367538205480866,0.78635362112837,"gain",1,0.0717357535989146,"not significant",0.0466829045475119
"chr1",9002468,9002469,19,18,0,14,20,22,33,18,0,0,0,18,22,18,19,17,0,0,24,22,22,20,22,23,32,18,14,1234,3456,"upstream","CA6",0.0048258257660148,1.21946606122379,"gain",0.101088478960114,-0.937264244652037,"not significant",0.0101669053721997
"chr1",9883249,9884588,37,15,37,29,47,35,44,48,26,28,25,42,28,34,19,38,24,19,44,33,43,35,38,35,67,35,34,1345,0,"overlapStart","CLSTN1",0.00985041829084753,0.515139490811864,"gain",0.0681068844784273,-0.367094410935497,"not significant",0.034372789193244
"chr1",19638347,19638356,0,27,30,20,34,39,33,56,41,28,0,0,0,41,29,0,19,18,36,46,59,41,40,23,85,0,35,2269,463,"upstream","PQLC2",0.0353492347391062,1.20432412857513,"gain",0.163806900925793,-0.763363284230814,"not significant",0.048123062799295
"chr1",23345977,23345988,17,33,37,42,40,35,35,0,0,19,24,0,47,47,0,0,26,14,47,52,66,40,70,37,0,49,37,2599,3633,"upstream","C1orf234",0.0148704767018946,1.3210221639057,"gain",0.192493525090399,-0.755189352785114,"not significant",0.0141365029747623
"chr1",27021745,27021748,67,24,45,0,0,44,67,38,0,25,0,66,52,0,36,23,0,17,39,29,72,43,49,44,72,54,46,3234,1122,"upstream","RP5-968P14.2",0.0123348578666697,1.18457095590148,"gain",0.221545416892227,-0.701959144338293,"not significant",0.0352627693371774
"chr1",27561177,27561181,19,24,0,0,16,29,30,23,18,19,24,48,37,0,0,18,0,19,42,37,41,0,49,60,81,52,38,3312,333,"upstream","RP11-40H20.4",0.00968842942179262,1.28015944493573,"gain",0.857044383820793,0.0542203909978865,"not significant",0.00354754229791558
